State,District,Year,Season,Crop,Area,Production
Bihar,27,2005,0,30,18128,16977
Bihar,27,2006,0,30,15085,11359
Bihar,27,2007,0,18,11811,36953
Bihar,27,2007,0,30,14324,9249
Bihar,27,2008,0,18,11384,27076
Bihar,27,2008,0,30,12909,13872
Bihar,27,2009,0,18,12340,45779
Bihar,27,2009,0,30,15152,15996
Bihar,27,2010,0,18,10276,34313
Bihar,27,2010,0,30,15293,24455
Bihar,27,2011,0,18,10921,17950
Bihar,27,2011,0,30,13084,15026
Bihar,27,2012,0,18,11416,50379
Bihar,27,2012,0,30,10937,14470
Bihar,27,2013,0,18,10186,27499
Bihar,27,2013,0,30,10583,19861
Bihar,27,2014,0,18,7813,20794
Bihar,27,2014,0,30,9483,18508
Bihar,28,1997,0,30,1047,1637
Bihar,28,2000,0,30,212760,542692
Bihar,28,2001,0,18,580,982
Bihar,28,2001,0,30,196946,490823
Bihar,28,2002,0,18,611,960
Bihar,28,2002,0,30,256,298
Bihar,28,2003,0,30,323,404
Bihar,28,2004,0,30,145,130
Bihar,28,2005,0,30,223,217
Bihar,28,2006,0,30,10,9
Bihar,28,2007,0,18,94,40
Bihar,28,2007,0,30,12,7
Bihar,28,2008,0,18,84,47
Bihar,28,2008,0,30,58,77
Bihar,28,2009,0,18,94,99
Bihar,28,2009,0,30,72,68
Bihar,28,2010,0,18,178,277
Bihar,28,2010,0,30,107,105
Bihar,28,2011,0,18,92,207
Bihar,28,2011,0,30,68,108
Bihar,28,2012,0,18,145,365
Bihar,28,2012,0,30,71,125
Bihar,28,2013,0,18,238,592
Bihar,28,2013,0,30,18,24
Bihar,28,2014,0,18,47,114
Bihar,29,1997,0,30,12672,12324
Bihar,29,2000,0,30,74013,101373
Bihar,29,2001,0,18,6394,8912
Bihar,29,2001,0,30,69810,63710
Bihar,29,2002,0,18,6371,10944
Bihar,29,2002,0,30,23605,24062
Bihar,29,2003,0,30,19051,22362
Bihar,29,2004,0,30,16959,14577
Bihar,29,2005,0,30,18525,18464
Bihar,29,2006,0,30,19854,18604
Bihar,29,2007,0,18,5629,20334
Bihar,29,2007,0,30,18985,16090
Bihar,29,2008,0,18,4986,16045
Bihar,29,2008,0,30,17253,12597
Bihar,29,2009,0,18,9288,24368
Bihar,29,2009,0,30,24659,26306
Bihar,29,2010,0,18,9710,34346
Bihar,29,2010,0,30,21563,28162
Bihar,29,2011,0,18,7740,33584
Bihar,29,2011,0,30,26055,44660
Bihar,29,2012,0,18,10096,52632
Bihar,29,2012,0,30,22565,19541
Bihar,29,2013,0,18,9490,45930
Bihar,29,2013,0,30,21084,35767
Bihar,29,2014,0,18,1173,5217
Bihar,29,2014,0,30,22635,34881
Bihar,30,1997,0,30,30879,41438
Bihar,30,2000,0,30,53701,57594
Bihar,30,2001,0,18,14857,25279
Bihar,30,2001,0,30,51940,55261
Bihar,30,2002,0,18,14628,19305
Bihar,30,2002,0,30,31792,21335
Bihar,30,2003,0,30,31888,34327
Bihar,30,2004,0,30,11645,2217
Bihar,30,2005,0,30,31324,10096
Bihar,30,2006,0,30,28709,22918
Bihar,30,2007,0,18,13808,4397
Bihar,30,2007,0,30,28019,4800
Bihar,30,2008,0,18,13866,39942
Bihar,30,2008,0,30,43475,58704
Bihar,30,2009,0,18,12147,23714
Bihar,30,2009,0,30,38777,30856
Bihar,30,2010,0,18,11869,20968
Bihar,30,2010,0,30,35239,24730
Bihar,30,2011,0,30,52016,100877
Bihar,30,2012,0,30,52016,77603
Bihar,30,2013,0,18,11086,34824
Bihar,30,2013,0,30,37527,45971
Bihar,30,2014,0,18,12114,29411
Bihar,30,2014,0,30,33234,69706
Bihar,31,1997,0,30,20955,29940
Bihar,31,2000,0,30,71859,106034
Bihar,31,2001,0,18,18821,29542
Bihar,31,2001,0,30,61033,77754
Bihar,31,2002,0,18,18851,35764
Bihar,31,2002,0,30,16954,16564
Bihar,31,2003,0,30,8705,7434
Bihar,31,2004,0,30,8505,5324
Bihar,31,2005,0,30,9609,14702
Bihar,31,2006,0,30,10028,13946
Bihar,31,2007,0,18,13197,13502
Bihar,31,2007,0,30,9320,12405
Bihar,31,2008,0,18,16821,7951
Bihar,31,2008,0,30,8752,11920
Bihar,31,2009,0,18,13282,19565
Bihar,31,2009,0,30,11259,13364
Bihar,31,2010,0,18,17483,25111
Bihar,31,2010,0,30,5872,6406
Bihar,31,2011,0,18,17843,29572
Bihar,31,2011,0,30,2913,4948
